"Label (Grouping)","Delaware!!Owner-occupied housing units without a mortgage!!Estimate","Delaware!!Percent owner-occupied housing units without a mortgage!!Estimate","Maine!!Owner-occupied housing units without a mortgage!!Estimate","Maine!!Percent owner-occupied housing units without a mortgage!!Estimate","Maryland!!Owner-occupied housing units without a mortgage!!Estimate","Maryland!!Percent owner-occupied housing units without a mortgage!!Estimate","Massachusetts!!Owner-occupied housing units without a mortgage!!Estimate","Massachusetts!!Percent owner-occupied housing units without a mortgage!!Estimate","New Hampshire!!Owner-occupied housing units without a mortgage!!Estimate","New Hampshire!!Percent owner-occupied housing units without a mortgage!!Estimate","New Jersey!!Owner-occupied housing units without a mortgage!!Estimate","New Jersey!!Percent owner-occupied housing units without a mortgage!!Estimate","New York!!Owner-occupied housing units without a mortgage!!Estimate","New York!!Percent owner-occupied housing units without a mortgage!!Estimate","Pennsylvania!!Owner-occupied housing units without a mortgage!!Estimate","Pennsylvania!!Percent owner-occupied housing units without a mortgage!!Estimate","Rhode Island!!Owner-occupied housing units without a mortgage!!Estimate","Rhode Island!!Percent owner-occupied housing units without a mortgage!!Estimate","Vermont!!Owner-occupied housing units without a mortgage!!Estimate","Vermont!!Percent owner-occupied housing units without a mortgage!!Estimate","Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","11,894","11.4%","24,037","13.6%","44,498","9.8%","48,365","8.7%","12,690","8.6%","65,720","8.2%","178,802","10.1%","186,643","12.3%","8,786","9.8%","8,936","11.5%","81,227","11.3%"
"            Less than 20 percent","1,570","1.5%","3,107","1.8%","1,778","0.4%","831","0.1%","782","0.5%","2,122","0.3%","16,033","0.9%","18,010","1.2%","104","0.1%","690","0.9%","14,860","2.1%"
"            20 to 29 percent","2,133","2.0%","4,213","2.4%","5,098","1.1%","1,732","0.3%","673","0.5%","2,556","0.3%","16,257","0.9%","35,083","2.3%","435","0.5%","930","1.2%","16,044","2.2%"
"            30 percent or more","8,191","7.9%","16,717","9.5%","37,622","8.3%","45,802","8.2%","11,235","7.6%","61,042","7.6%","146,512","8.3%","133,550","8.8%","8,247","9.2%","7,316","9.4%","50,323","7.0%"
"        $20,000 to $34,999","13,187","12.7%","26,630","15.1%","45,298","9.9%","58,878","10.5%","17,689","12.0%","79,287","9.9%","197,811","11.2%","215,507","14.2%","10,283","11.5%","9,884","12.7%","94,932","13.2%"
"            Less than 20 percent","7,294","7.0%","12,906","7.3%","15,003","3.3%","7,959","1.4%","3,396","2.3%","9,404","1.2%","60,012","3.4%","94,258","6.2%","915","1.0%","2,591","3.3%","52,463","7.3%"
"            20 to 29 percent","3,754","3.6%","7,041","4.0%","14,668","3.2%","12,990","2.3%","4,507","3.1%","10,213","1.3%","45,578","2.6%","70,652","4.7%","3,942","4.4%","3,023","3.9%","25,816","3.6%"
"            30 percent or more","2,139","2.1%","6,683","3.8%","15,627","3.4%","37,929","6.8%","9,786","6.6%","59,670","7.4%","92,221","5.2%","50,597","3.3%","5,426","6.1%","4,270","5.5%","16,653","2.3%"
"        $35,000 to $49,999","14,347","13.8%","26,449","15.0%","43,049","9.5%","54,612","9.8%","15,998","10.9%","79,030","9.8%","187,792","10.6%","205,246","13.5%","9,888","11.1%","10,114","13.0%","86,666","12.0%"
"            Less than 20 percent","11,628","11.2%","19,827","11.3%","28,647","6.3%","19,013","3.4%","5,828","4.0%","18,303","2.3%","96,166","5.4%","153,033","10.1%","4,468","5.0%","5,861","7.6%","71,110","9.9%"
"            20 to 29 percent","2,256","2.2%","5,232","3.0%","10,759","2.4%","21,863","3.9%","6,635","4.5%","26,808","3.3%","42,367","2.4%","38,714","2.6%","4,103","4.6%","2,915","3.8%","11,745","1.6%"
"            30 percent or more","463","0.4%","1,390","0.8%","3,643","0.8%","13,736","2.5%","3,535","2.4%","33,919","4.2%","49,259","2.8%","13,499","0.9%","1,317","1.5%","1,338","1.7%","3,811","0.5%"
"        $50,000 to $74,999","18,912","18.1%","34,349","19.5%","72,250","15.9%","83,362","14.9%","25,520","17.3%","116,152","14.4%","294,671","16.6%","270,444","17.8%","14,493","16.2%","14,440","18.6%","120,219","16.7%"
"            Less than 20 percent","18,221","17.5%","30,914","17.5%","65,490","14.4%","56,453","10.1%","17,608","11.9%","55,077","6.8%","203,797","11.5%","248,443","16.4%","10,942","12.3%","11,533","14.9%","112,034","15.6%"
"            20 to 29 percent","431","0.4%","3,135","1.8%","5,526","1.2%","20,087","3.6%","6,625","4.5%","42,021","5.2%","56,784","3.2%","17,716","1.2%","2,771","3.1%","2,531","3.3%","6,714","0.9%"
"            30 percent or more","260","0.2%","300","0.2%","1,234","0.3%","6,822","1.2%","1,287","0.9%","19,054","2.4%","34,090","1.9%","4,285","0.3%","780","0.9%","376","0.5%","1,471","0.2%"
"        $75,000 or more","44,234","42.4%","62,110","35.3%","244,312","53.6%","307,100","55.0%","73,809","50.1%","454,697","56.5%","887,909","50.2%","615,899","40.6%","44,721","50.1%","33,290","42.9%","329,851","45.8%"
"            Less than 20 percent","43,855","42.1%","61,667","35.0%","239,801","52.7%","291,915","52.3%","70,521","47.8%","418,011","51.9%","812,353","45.9%","608,455","40.1%","43,470","48.7%","32,341","41.7%","326,215","45.3%"
"            20 to 29 percent","379","0.4%","375","0.2%","3,450","0.8%","12,239","2.2%","2,998","2.0%","30,866","3.8%","52,884","3.0%","5,903","0.4%","923","1.0%","771","1.0%","2,254","0.3%"
"            30 percent or more","0","0.0%","68","0.0%","1,061","0.2%","2,946","0.5%","290","0.2%","5,820","0.7%","22,672","1.3%","1,541","0.1%","328","0.4%","178","0.2%","1,382","0.2%"
"        Zero or negative income","1,630","1.6%","2,589","1.5%","6,009","1.3%","6,244","1.1%","1,684","1.1%","9,979","1.2%","23,393","1.3%","21,924","1.4%","1,088","1.2%","897","1.2%","7,464","1.0%"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","28,706","27.5%","22,416","12.7%","22,238","4.9%","12,340","2.2%","7,006","4.8%","13,179","1.6%","79,542","4.5%","224,809","14.8%","3,093","3.5%","4,415","5.7%","150,609","20.9%"
"        $800 to $1,499","24,486","23.5%","27,687","15.7%","34,872","7.7%","16,518","3.0%","6,589","4.5%","14,936","1.9%","115,995","6.6%","239,442","15.8%","2,756","3.1%","4,850","6.3%","127,242","17.7%"
"        $1,500 or more","45,024","43.2%","120,030","68.1%","371,065","81.5%","503,098","90.1%","129,746","88.0%","730,838","90.8%","1,393,759","78.7%","1,004,323","66.3%","81,368","91.2%","66,513","85.8%","406,811","56.5%"
"        No real estate taxes paid","5,988","5.7%","6,031","3.4%","27,241","6.0%","26,605","4.8%","4,049","2.7%","45,912","5.7%","181,082","10.2%","47,089","3.1%","2,042","2.3%","1,783","2.3%","35,697","5.0%"
"        Median (dollars)","1,378","1,378","2,446","2,446","3,474","3,474","5,318","5,318","5,869","5,869","8,500","8,500","5,485","5,485","2,577","2,577","4,390","4,390","4,370","4,370","1,991","1,991"
