"Label (Grouping)","Delaware!!Total!!Estimate","Delaware!!Below poverty level!!Estimate","Delaware!!Percent below poverty level!!Estimate","Maine!!Total!!Estimate","Maine!!Below poverty level!!Estimate","Maine!!Percent below poverty level!!Estimate","Maryland!!Total!!Estimate","Maryland!!Below poverty level!!Estimate","Maryland!!Percent below poverty level!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Below poverty level!!Estimate","Massachusetts!!Percent below poverty level!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Below poverty level!!Estimate","New Hampshire!!Percent below poverty level!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Below poverty level!!Estimate","New Jersey!!Percent below poverty level!!Estimate","New York!!Total!!Estimate","New York!!Below poverty level!!Estimate","New York!!Percent below poverty level!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Below poverty level!!Estimate","Pennsylvania!!Percent below poverty level!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Below poverty level!!Estimate","Rhode Island!!Percent below poverty level!!Estimate","Vermont!!Total!!Estimate","Vermont!!Below poverty level!!Estimate","Vermont!!Percent below poverty level!!Estimate","Virginia!!Total!!Estimate","Virginia!!Below poverty level!!Estimate","Virginia!!Percent below poverty level!!Estimate"
"        American Indian and Alaska Native alone","3,506","545","15.5%","8,663","2,423","28.0%","15,260","2,281","14.9%","13,496","3,143","23.3%","2,075","254","12.2%","21,865","3,751","17.2%","74,077","16,739","22.6%","19,619","4,819","24.6%","4,108","799","19.4%","1,805","335","18.6%","21,343","2,462","11.5%"
"        Asian alone","38,098","4,327","11.4%","14,013","1,823","13.0%","378,532","27,304","7.2%","443,151","52,349","11.8%","35,163","2,969","8.4%","842,931","53,401","6.3%","1,636,852","235,557","14.4%","434,781","58,408","13.4%","34,161","4,527","13.3%","9,269","1,335","14.4%","561,322","40,507","7.2%"
"        Native Hawaiian and Other Pacific Islander alone","689","63","9.1%","190","64","33.7%","2,481","198","8.0%","2,545","303","11.9%","396","33","8.3%","3,055","537","17.6%","8,891","2,113","23.8%","4,042","905","22.4%","762","75","9.8%","195","17","8.7%","5,568","556","10.0%"
"        Some other race alone","21,490","4,573","21.3%","4,658","653","14.0%","281,015","39,646","14.1%","278,354","61,853","22.2%","8,187","820","10.0%","558,223","110,023","19.7%","1,637,893","382,701","23.4%","304,003","90,871","29.9%","57,393","13,839","24.1%","2,425","205","8.5%","234,821","37,996","16.2%"
"        Two or more races","36,853","6,107","16.6%","34,869","6,539","18.8%","265,404","27,948","10.5%","317,211","49,310","15.5%","37,725","4,321","11.5%","420,959","53,012","12.6%","899,286","155,444","17.3%","416,891","76,477","18.3%","50,458","9,480","18.8%","16,255","2,865","17.6%","392,308","40,839","10.4%"
"        Hispanic or Latino origin (of any race)","89,084","16,413","18.4%","21,832","3,688","16.9%","607,359","72,737","12.0%","802,795","184,331","23.0%","50,039","7,429","14.8%","1,787,097","302,326","16.9%","3,635,885","759,828","20.9%","938,779","249,217","26.5%","163,259","37,708","23.1%","11,104","1,785","16.1%","786,973","103,528","13.2%"
"        White alone, not Hispanic or Latino","581,495","46,530","8.0%","1,211,491","125,403","10.4%","2,965,954","182,033","6.1%","4,707,206","313,547","6.7%","1,179,281","80,748","6.8%","4,778,537","285,120","6.0%","10,503,707","961,832","9.2%","9,415,139","803,629","8.5%","726,790","57,862","8.0%","556,026","57,067","10.3%","5,072,390","392,195","7.7%"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","669,669","60,363","9.0%","969,749","93,227","9.6%","4,103,646","311,326","7.6%","4,750,056","399,981","8.4%","957,211","60,544","6.3%","6,085,553","496,343","8.2%","13,451,535","1,531,011","11.4%","8,812,474","845,885","9.6%","729,347","69,650","9.5%","436,793","38,640","8.8%","5,733,927","457,264","8.0%"
"            Less than high school graduate","60,508","12,246","20.2%","63,838","15,267","23.9%","378,181","73,431","19.4%","414,998","96,208","23.2%","62,485","12,053","19.3%","580,340","127,926","22.0%","1,685,474","462,236","27.4%","768,604","185,130","24.1%","77,201","18,941","24.5%","27,516","7,029","25.5%","539,195","114,263","21.2%"
"            High school graduate (includes equivalency)","206,663","25,673","12.4%","301,595","40,226","13.3%","979,956","111,933","11.4%","1,106,712","128,974","11.7%","258,744","22,054","8.5%","1,609,129","181,144","11.3%","3,389,816","489,362","14.4%","2,980,840","356,734","12.0%","202,794","24,766","12.2%","122,978","14,517","11.8%","1,351,640","155,556","11.5%"
"            Some college, associate's degree","181,188","14,619","8.1%","286,742","24,683","8.6%","1,048,974","73,733","7.0%","1,096,439","91,568","8.4%","273,090","15,492","5.7%","1,391,994","103,509","7.4%","3,286,341","331,612","10.1%","2,171,367","192,314","8.9%","191,468","15,524","8.1%","111,743","9,749","8.7%","1,548,116","116,161","7.5%"
"            Bachelor's degree or higher","221,310","7,825","3.5%","317,574","13,051","4.1%","1,696,535","52,229","3.1%","2,131,907","83,231","3.9%","362,892","10,945","3.0%","2,504,090","83,764","3.3%","5,089,904","247,801","4.9%","2,891,663","111,707","3.9%","257,884","10,419","4.0%","174,556","7,345","4.2%","2,294,976","71,284","3.1%"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","481,663","30,677","6.4%","695,718","41,535","6.0%","3,228,143","154,293","4.8%","3,738,117","179,321","4.8%","748,074","28,304","3.8%","4,681,991","238,695","5.1%","9,930,416","670,787","6.8%","6,491,272","415,725","6.4%","555,514","32,116","5.8%","334,375","20,239","6.1%","4,346,483","240,824","5.5%"
"            Employed","453,527","23,370","5.2%","667,885","34,163","5.1%","3,062,139","116,766","3.8%","3,551,918","138,104","3.9%","720,276","23,019","3.2%","4,411,775","182,466","4.1%","9,369,389","513,428","5.5%","6,146,152","320,086","5.2%","525,136","23,844","4.5%","322,041","16,995","5.3%","4,148,070","193,022","4.7%"
"                Male","230,894","9,269","4.0%","339,821","14,481","4.3%","1,554,085","47,358","3.0%","1,807,849","55,428","3.1%","376,065","9,384","2.5%","2,311,881","78,396","3.4%","4,819,605","226,268","4.7%","3,194,857","132,590","4.2%","269,255","10,288","3.8%","163,231","7,004","4.3%","2,143,112","79,427","3.7%"
"                Female","222,633","14,101","6.3%","328,064","19,682","6.0%","1,508,054","69,408","4.6%","1,744,069","82,676","4.7%","344,211","13,635","4.0%","2,099,894","104,070","5.0%","4,549,784","287,160","6.3%","2,951,295","187,496","6.4%","255,881","13,556","5.3%","158,810","9,991","6.3%","2,004,958","113,595","5.7%"
"            Unemployed","28,136","7,307","26.0%","27,833","7,372","26.5%","166,004","37,527","22.6%","186,199","41,217","22.1%","27,798","5,285","19.0%","270,216","56,229","20.8%","561,027","157,359","28.0%","345,120","95,639","27.7%","30,378","8,272","27.2%","12,334","3,244","26.3%","198,413","47,802","24.1%"
"                Male","14,671","3,385","23.1%","16,343","3,987","24.4%","83,981","16,873","20.1%","101,458","20,546","20.3%","16,232","2,756","17.0%","141,447","27,000","19.1%","303,915","78,278","25.8%","187,898","47,415","25.2%","16,843","4,640","27.5%","7,477","1,819","24.3%","103,712","22,006","21.2%"
"                Female","13,465","3,922","29.1%","11,490","3,385","29.5%","82,023","20,654","25.2%","84,741","20,671","24.4%","11,566","2,529","21.9%","128,769","29,229","22.7%","257,112","79,081","30.8%","157,222","48,224","30.7%","13,535","3,632","26.8%","4,857","1,425","29.3%","94,701","25,796","27.2%"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","764,586","75,995","9.9%","1,090,779","114,218","10.5%","4,722,913","393,660","8.3%","5,460,968","507,710","9.3%","1,092,542","77,497","7.1%","7,009,663","610,729","8.7%","15,472,107","1,913,192","12.4%","10,090,977","1,088,942","10.8%","840,264","89,842","10.7%","500,679","52,328","10.5%","6,623,098","609,326","9.2%"
"            Worked full-time, year-round in the past 12 months","330,383","7,201","2.2%","457,656","7,731","1.7%","2,292,747","33,402","1.5%","2,478,222","28,734","1.2%","511,059","4,329","0.8%","3,191,754","57,411","1.8%","6,725,849","145,214","2.2%","4,433,897","88,889","2.0%","371,201","5,127","1.4%","220,523","3,161","1.4%","3,137,245","58,796","1.9%"
"            Worked part-time or part-year in the past 12 months","171,773","23,445","13.6%","280,467","37,969","13.5%","1,052,566","121,048","11.5%","1,410,989","155,665","11.0%","275,761","26,995","9.8%","1,622,558","169,946","10.5%","3,521,229","520,841","14.8%","2,322,786","340,843","14.7%","203,731","25,973","12.7%","135,312","20,075","14.8%","1,460,031","198,030","13.6%"
"            Did not work","262,430","45,349","17.3%","352,656","68,518","19.4%","1,377,600","239,210","17.4%","1,571,757","323,311","20.6%","305,722","46,173","15.1%","2,195,351","383,372","17.5%","5,225,029","1,247,137","23.9%","3,334,294","659,210","19.8%","265,332","58,742","22.1%","144,844","29,092","20.1%","2,025,822","352,500","17.4%"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","48,737","(X)","(X)","56,069","(X)","(X)","261,713","(X)","(X)","306,620","(X)","(X)","45,820","(X)","(X)","372,911","(X)","(X)","1,178,863","(X)","(X)","669,658","(X)","(X)","51,063","(X)","(X)","29,114","(X)","(X)","393,228","(X)","(X)"
"        125 percent of poverty level","138,828","(X)","(X)","197,483","(X)","(X)","691,601","(X)","(X)","847,874","(X)","(X)","130,626","(X)","(X)","1,110,493","(X)","(X)","3,326,200","(X)","(X)","1,932,736","(X)","(X)","153,980","(X)","(X)","87,290","(X)","(X)","1,091,514","(X)","(X)"
"        150 percent of poverty level","170,178","(X)","(X)","250,932","(X)","(X)","865,471","(X)","(X)","1,036,734","(X)","(X)","166,546","(X)","(X)","1,373,150","(X)","(X)","4,028,229","(X)","(X)","2,396,384","(X)","(X)","186,605","(X)","(X)","109,188","(X)","(X)","1,360,891","(X)","(X)"
"        185 percent of poverty level","221,226","(X)","(X)","332,566","(X)","(X)","1,123,966","(X)","(X)","1,308,611","(X)","(X)","222,921","(X)","(X)","1,762,431","(X)","(X)","5,026,221","(X)","(X)","3,102,028","(X)","(X)","239,400","(X)","(X)","141,206","(X)","(X)","1,783,998","(X)","(X)"
"        200 percent of poverty level","244,659","(X)","(X)","367,114","(X)","(X)","1,235,749","(X)","(X)","1,428,245","(X)","(X)","250,272","(X)","(X)","1,929,549","(X)","(X)","5,470,255","(X)","(X)","3,415,501","(X)","(X)","260,875","(X)","(X)","157,843","(X)","(X)","1,971,716","(X)","(X)"
"        300 percent of poverty level","388,702","(X)","(X)","589,616","(X)","(X)","1,981,980","(X)","(X)","2,218,326","(X)","(X)","435,196","(X)","(X)","3,001,110","(X)","(X)","8,073,627","(X)","(X)","5,388,593","(X)","(X)","409,603","(X)","(X)","253,801","(X)","(X)","3,151,347","(X)","(X)"
"        400 percent of poverty level","517,118","(X)","(X)","792,878","(X)","(X)","2,716,617","(X)","(X)","3,004,241","(X)","(X)","621,614","(X)","(X)","4,002,269","(X)","(X)","10,401,669","(X)","(X)","7,173,681","(X)","(X)","547,407","(X)","(X)","343,436","(X)","(X)","4,251,487","(X)","(X)"
"        500 percent of poverty level","632,686","(X)","(X)","949,963","(X)","(X)","3,369,464","(X)","(X)","3,724,661","(X)","(X)","795,689","(X)","(X)","4,935,655","(X)","(X)","12,352,949","(X)","(X)","8,586,265","(X)","(X)","666,071","(X)","(X)","418,776","(X)","(X)","5,158,001","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","185,862","41,665","22.4%","316,038","73,839","23.4%","1,100,314","218,963","19.9%","1,450,602","302,440","20.8%","278,086","50,141","18.0%","1,449,534","297,148","20.5%","4,021,244","961,267","23.9%","2,560,285","595,717","23.3%","221,357","50,973","23.0%","154,822","35,134","22.7%","1,586,919","338,592","21.3%"
"    Male","84,512","16,799","19.9%","149,792","31,766","21.2%","518,099","93,931","18.1%","691,017","132,574","19.2%","137,908","22,122","16.0%","687,076","125,142","18.2%","1,904,961","412,952","21.7%","1,229,200","263,354","21.4%","106,509","22,418","21.0%","74,697","15,935","21.3%","757,665","148,346","19.6%"
"    Female","101,350","24,866","24.5%","166,246","42,073","25.3%","582,215","125,032","21.5%","759,585","169,866","22.4%","140,178","28,019","20.0%","762,458","172,006","22.6%","2,116,283","548,315","25.9%","1,331,085","332,363","25.0%","114,848","28,555","24.9%","80,125","19,199","24.0%","829,254","190,246","22.9%"
"    15 years","227","227","100.0%","437","435","99.5%","1,241","1,199","96.6%","1,526","1,475","96.7%","342","326","95.3%","1,649","1,608","97.5%","4,826","4,732","98.1%","2,824","2,797","99.0%","252","228","90.5%","218","218","100.0%","2,300","2,284","99.3%"
"    16 to 17 years","703","688","97.9%","1,240","1,204","97.1%","3,426","3,284","95.9%","3,510","3,443","98.1%","1,111","1,025","92.3%","3,573","3,422","95.8%","11,606","11,201","96.5%","6,861","6,588","96.0%","666","654","98.2%","556","545","98.0%","5,135","4,889","95.2%"
"    18 to 24 years","15,564","8,077","51.9%","30,076","12,995","43.2%","90,576","39,955","44.1%","138,763","59,264","42.7%","30,588","10,873","35.5%","85,371","39,902","46.7%","324,811","152,694","47.0%","249,379","126,137","50.6%","19,514","9,707","49.7%","21,107","10,014","47.4%","178,962","89,016","49.7%"
"    25 to 34 years","36,729","6,188","16.8%","56,321","10,861","19.3%","236,921","35,005","14.8%","367,439","53,492","14.6%","57,491","8,096","14.1%","289,113","46,067","15.9%","934,741","159,752","17.1%","511,085","87,986","17.2%","46,419","7,012","15.1%","28,563","4,164","14.6%","346,693","50,668","14.6%"
"    35 to 44 years","20,293","3,871","19.1%","31,345","6,323","20.2%","139,876","21,935","15.7%","160,763","25,166","15.7%","28,835","4,651","16.1%","176,031","32,106","18.2%","502,570","103,028","20.5%","269,329","57,030","21.2%","23,956","4,699","19.6%","15,111","3,050","20.2%","192,411","30,249","15.7%"
"    45 to 54 years","25,353","5,944","23.4%","41,782","9,898","23.7%","154,838","28,587","18.5%","176,329","35,950","20.4%","36,717","6,324","17.2%","202,829","40,766","20.1%","522,151","124,017","23.8%","327,408","77,466","23.7%","29,711","6,949","23.4%","18,659","4,396","23.6%","206,675","39,052","18.9%"
"    55 to 64 years","35,439","9,522","26.9%","61,129","14,988","24.5%","188,324","40,179","21.3%","227,874","53,285","23.4%","49,013","8,801","18.0%","253,544","53,861","21.2%","646,911","174,048","26.9%","440,582","111,275","25.3%","39,419","9,880","25.1%","27,227","6,220","22.8%","255,525","56,598","22.1%"
"    65 to 74 years","28,213","3,779","13.4%","49,172","8,441","17.2%","149,975","25,431","17.0%","190,627","35,440","18.6%","38,607","4,746","12.3%","210,442","38,418","18.3%","538,899","114,836","21.3%","365,020","62,855","17.2%","31,031","5,820","18.8%","22,946","3,566","15.5%","208,476","33,825","16.2%"
"    75 years and over","23,341","3,369","14.4%","44,536","8,694","19.5%","135,137","23,388","17.3%","183,771","34,925","19.0%","35,382","5,299","15.0%","226,982","40,998","18.1%","534,729","116,959","21.9%","387,797","63,583","16.4%","30,389","6,024","19.8%","20,435","2,961","14.5%","190,742","32,011","16.8%"
"    Mean income deficit for unrelated individuals (dollars)","7,795","(X)","(X)","6,261","(X)","(X)","7,582","(X)","(X)","7,163","(X)","(X)","7,241","(X)","(X)","7,333","(X)","(X)","7,314","(X)","(X)","7,133","(X)","(X)","6,742","(X)","(X)","6,768","(X)","(X)","7,436","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","80,252","2,506","3.1%","123,154","3,565","2.9%","540,310","13,692","2.5%","658,387","13,528","2.1%","130,968","2,595","2.0%","649,053","16,869","2.6%","1,755,177","43,629","2.5%","1,073,806","33,587","3.1%","93,225","1,847","2.0%","63,534","1,542","2.4%","764,020","22,412","2.9%"
"    Worked less than full-time, year-round in the past 12 months","38,356","12,628","32.9%","75,799","23,702","31.3%","212,482","65,990","31.1%","322,931","88,207","27.3%","61,674","17,254","28.0%","278,494","77,081","27.7%","816,952","254,799","31.2%","523,140","188,191","36.0%","46,259","13,773","29.8%","40,379","13,950","34.5%","317,865","113,996","35.9%"
"    Did not work","67,254","26,531","39.4%","117,085","46,572","39.8%","347,522","139,281","40.1%","469,284","200,705","42.8%","85,444","30,292","35.5%","521,987","203,198","38.9%","1,449,115","662,839","45.7%","963,339","373,939","38.8%","81,873","35,353","43.2%","50,909","19,642","38.6%","505,034","202,184","40.0%"
